year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2015,3,1,79.2 B,Gates,Bill,Bill Gates,1955-10-28,59.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cofounder,True,Increased
2015,3,2,77.1 B,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,75.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],Am&#233;rica M&#243;vil,Honorary Chairman,True,Increased
2015,3,3,72.7 B,Buffett,Warren,Warren Buffett,1930-08-30,84.0,Male,United States,United States,Omaha,Investments,['Investments'],Berkshire Hathaway,CEO,True,Increased
2015,3,4,64.5 B,Ortega,Amancio,Amancio Ortega,1936-03-28,78.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2015,3,5,54.3 B,Ellison,Larry,Larry Ellison,1944-08-17,70.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO and Founder,True,Increased
2015,3,6,42.9 B,Koch,Charles,Charles Koch,1935-11-01,79.0,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Increased
2015,3,6,42.9 B,Koch,David,David Koch,1940-05-03,74.0,Male,United States,United States,New York,Diversified,['Diversified'],Koch Industries,Executive Vice President,False,Increased
2015,3,8,41.7 B,Walton,Christy,Christy Walton & family,1955-01-01,60.0,Female,United States,United States,Jackson,Fashion and Retail,['Fashion and Retail'],Children's Scholarship Fund,Co-Chair,False,Increased
2015,3,9,40.6 B,Walton,Jim,Jim Walton,1948-01-01,67.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2015,3,10,40.1 B,Bettencourt,Liliane,Liliane Bettencourt & family,1922-10-21,92.0,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2015,3,11,39.4 B,Walton,Alice,Alice Walton,1949-10-07,65.0,Female,United States,United States,Fort Worth,Fashion and Retail,['Fashion and Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2015,3,12,39.1 B,Walton,S. Robson,S. Robson Walton,1944-10-27,70.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Wal-Mart Stores,Chairman,False,Increased
2015,3,13,37.2 B,Arnault,Bernard,Bernard Arnault & family,1949-03-05,65.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2015,3,14,35.5 B,Bloomberg,Michael,Michael Bloomberg,1942-02-14,73.0,Male,United States,United States,New York,Media,['Media'],Bloomberg,CEO,True,Increased
2015,3,15,34.8 B,Bezos,Jeff,Jeff Bezos,1964-01-12,51.0,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,Entrepreneur,True,Increased
2015,3,16,33.4 B,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,30.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Facebook,Entrepreneur,True,Increased
2015,3,17,33.3 B,Li,Ka-shing,Li Ka-shing,1928-06-13,86.0,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],CK Hutchison Holdings,Chairman,True,Increased
2015,3,18,31.4 B,Adelson,Sheldon,Sheldon Adelson,1933-08-04,81.0,Male,United States,United States,Las Vegas,Gaming,['Gaming'],Las Vegas Sands,Chairman and CEO,True,Decreased
2015,3,19,29.7 B,Page,Larry,Larry Page,1973-03-26,41.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Google,Entrepreneur,True,Decreased
2015,3,20,29.2 B,Brin,Sergey,Sergey Brin,1973-08-21,41.0,Male,United States,United States,Los Altos,Technology,['Technology'],Google,"Cofounder, Director Of Special Projects",True,Decreased
