year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2012,3,1,69.0 B,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,72.0,Male,Mexico,Mexico,Mexico City,,['Telecom'],,,True,Decreased
2012,3,2,61.0 B,Gates,Bill,Bill Gates,1955-10-28,56.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Co-Chair,True,Increased
2012,3,3,44.0 B,Buffett,Warren,Warren Buffett,1930-08-30,81.0,Male,United States,United States,Omaha,Investments,['Investments'],Berkshire Hathaway,CEO,True,Decreased
2012,3,4,41.0 B,Arnault,Bernard,Bernard Arnault,1949-03-05,63.0,Male,France,France,Paris,,['Fashion and Retail'],,,False,Remained Even
2012,3,5,37.5 B,Ortega,Amancio,Amancio Ortega,1936-03-28,75.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2012,3,6,36.0 B,Ellison,Larry,Larry Ellison,1944-08-17,67.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO,True,Decreased
2012,3,7,30.0 B,Batista,Eike,Eike Batista,1956-11-03,55.0,Male,Brazil,Brazil,Rio de Janeiro,,['Energy'],,,True,Remained Even
2012,3,8,26.0 B,Persson,Stefan,Stefan Persson,1947-10-04,64.0,Male,Sweden,Sweden,Stockholm,Fashion & Retail,['Fashion & Retail'],H&#38;M,Chairman,False,Increased
2012,3,9,25.5 B,Li,Ka-shing,Li Ka-shing,1928-06-13,83.0,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],Hutchison Whampoa,Chairman,True,Decreased
2012,3,10,25.4 B,Albrecht,Karl,Karl Albrecht,1920-02-20,92.0,Male,Germany,Germany,Mulheim an der Ruhr,,['Fashion and Retail'],,,True,Decreased
2012,3,11,25.3 B,Walton,Christy,Christy Walton & family,1955-01-01,57.0,Female,United States,United States,Jackson,Fashion and Retail,['Fashion and Retail'],Children's Scholarship Fund,Co-Chair,False,Decreased
2012,3,12,25.0 B,Koch,Charles,Charles Koch,1935-11-01,76.0,Male,United States,United States,Wichita,Diversified,['Diversified'],"Koch Industries, Inc.",CEO,False,Increased
2012,3,12,25.0 B,Koch,David,David Koch,1940-05-03,71.0,Male,United States,United States,New York,Diversified,['Diversified'],"Koch Industries, Inc.",Executive Vice President,False,Increased
2012,3,14,24.9 B,Adelson,Sheldon,Sheldon Adelson,1933-08-04,78.0,Male,United States,United States,Las Vegas,Gaming,['Gaming'],Las Vegas Sands,Chairman and CEO,True,Increased
2012,3,15,24.0 B,Bettencourt,Liliane,Liliane Bettencourt & family,1922-10-21,89.0,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2012,3,16,23.7 B,Walton,Jim,Jim Walton,1948-01-01,64.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2012,3,17,23.3 B,Walton,Alice,Alice Walton,1949-10-07,62.0,Female,United States,United States,Fort Worth,Fashion and Retail,['Fashion and Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2012,3,18,23.1 B,Walton,S. Robson,S. Robson Walton,1944-01-01,68.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],Wal-Mart Stores,Chairman,False,Increased
2012,3,19,22.3 B,Ambani,Mukesh,Mukesh Ambani,1957-04-19,54.0,Male,India,India,Mumbai,,['Energy'],,,False,Decreased
2012,3,20,22.0 B,Bloomberg,Michael,Michael Bloomberg,1942-02-14,70.0,Male,United States,United States,New York,Politics,['Politics'],United States,"Mayor, New York City",True,Increased
