year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2019,3,1,131.0 B,Bezos,Jeff,Jeff Bezos,1964-01-12,55.0,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,Entrepreneur,True,Increased
2019,3,2,96.5 B,Gates,Bill,Bill Gates,1955-10-28,63.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cofounder,True,Increased
2019,3,3,82.5 B,Buffett,Warren,Warren Buffett,1930-08-30,88.0,Male,United States,United States,Omaha,Finance and Investments,['Finance and Investments'],Berkshire Hathaway,CEO,True,Decreased
2019,3,4,76.0 B,Arnault,Bernard,Bernard Arnault & family,1949-03-05,70.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2019,3,5,64.0 B,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,79.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],América Móvil,Honorary Chairman,True,Decreased
2019,3,6,62.7 B,Ortega,Amancio,Amancio Ortega,1936-03-28,82.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Decreased
2019,3,7,62.5 B,Ellison,Larry,Larry Ellison,1944-08-17,74.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CTO and Founder,True,Increased
2019,3,8,62.3 B,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,34.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Facebook,Entrepreneur,True,Decreased
2019,3,9,55.5 B,Bloomberg,Michael,Michael Bloomberg,1942-02-14,77.0,Male,United States,United States,New York,Media & Entertainment,['Media & Entertainment'],Bloomberg,CEO,True,Increased
2019,3,10,50.8 B,Page,Larry,Larry Page,1973-03-26,45.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Google,Entrepreneur,True,Increased
2019,3,11,50.5 B,Koch,Charles,Charles Koch,1935-11-01,83.0,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Decreased
2019,3,11,50.5 B,Koch,David,David Koch,1940-05-03,78.0,Male,United States,,,Diversified,['Diversified'],Koch Industries,Director Emeritus,False,Decreased
2019,3,13,50.0 B,Ambani,Mukesh,Mukesh Ambani,1957-04-19,61.0,Male,India,India,Mumbai,Energy,['Energy'],Reliance Industries,Founder and Chairman,False,Increased
2019,3,14,49.8 B,Brin,Sergey,Sergey Brin,1973-08-21,45.0,Male,United States,United States,Los Altos,Technology,['Technology'],Google,President,True,Increased
2019,3,15,49.3 B,Bettencourt Meyers,Francoise,Francoise Bettencourt Meyers & family,1953-07-10,65.0,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2019,3,16,44.6 B,Walton,Jim,Jim Walton,1948-06-07,70.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Decreased
2019,3,17,44.4 B,Walton,Alice,Alice Walton,1949-10-07,69.0,Female,United States,United States,Fort Worth,Fashion & Retail,['Fashion & Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Decreased
2019,3,18,44.3 B,Walton,Rob,Rob Walton,1944-10-27,74.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Walmart,Director,False,Decreased
2019,3,19,41.2 B,Ballmer,Steve,Steve Ballmer,1956-03-24,62.0,Male,United States,United States,Hunts Point,Technology,['Technology'],Los Angeles Clippers,Owner,True,Increased
2019,3,20,38.8 B,Ma,Huateng,Ma Huateng,1971-10-29,47.0,Male,China,China,Shenzhen,Technology,['Technology'],Tencent Holdings,Chairman and CEO,True,Decreased
