year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2014,3,1,76.0 B,Gates,Bill,Bill Gates,1955-10-28,58.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Co-Chair,True,Increased
2014,3,2,72.0 B,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,74.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],Am&#233;rica M&#243;vil,Honorary Chairman,True,Decreased
2014,3,3,64.0 B,Ortega,Amancio,Amancio Ortega,1936-03-28,77.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2014,3,4,58.2 B,Buffett,Warren,Warren Buffett,1930-08-30,83.0,Male,United States,United States,Omaha,Investments,['Investments'],Berkshire Hathaway,CEO,True,Increased
2014,3,5,48.0 B,Ellison,Larry,Larry Ellison,1944-08-17,69.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO and Founder,True,Increased
2014,3,6,40.0 B,Koch,Charles,Charles Koch,1935-11-01,78.0,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Increased
2014,3,6,40.0 B,Koch,David,David Koch,1940-05-03,73.0,Male,United States,United States,New York,Diversified,['Diversified'],Koch Industries,Executive Vice President,False,Increased
2014,3,8,38.0 B,Adelson,Sheldon,Sheldon Adelson,1933-08-04,80.0,Male,United States,United States,Las Vegas,Gaming,['Gaming'],Las Vegas Sands,Chairman and CEO,True,Increased
2014,3,9,36.7 B,Walton,Christy,Christy Walton & family,1955-01-01,59.0,Female,United States,United States,Jackson,Fashion and Retail,['Fashion and Retail'],Children's Scholarship Fund,Co-Chair,False,Increased
2014,3,10,34.7 B,Walton,Jim,Jim Walton,1948-01-01,66.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2014,3,11,34.5 B,Bettencourt,Liliane,Liliane Bettencourt & family,1922-10-21,91.0,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2014,3,12,34.4 B,Persson,Stefan,Stefan Persson,1947-10-04,66.0,Male,Sweden,Sweden,Stockholm,Fashion & Retail,['Fashion & Retail'],H&#38;M,Chairman,False,Increased
2014,3,13,34.3 B,Walton,Alice,Alice Walton,1949-10-07,64.0,Female,United States,United States,Fort Worth,Fashion and Retail,['Fashion and Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2014,3,14,34.2 B,Walton,S. Robson,S. Robson Walton,1944-01-01,70.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],Wal-Mart Stores,Chairman,False,Increased
2014,3,15,33.5 B,Arnault,Bernard,Bernard Arnault & family,1949-03-05,64.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2014,3,16,33.0 B,Bloomberg,Michael,Michael Bloomberg,1942-02-14,72.0,Male,United States,United States,New York,Finance,['Finance'],United States,"Mayor, New York City",True,Increased
2014,3,17,32.3 B,Page,Larry,Larry Page,1973-03-26,40.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Google,Entrepreneur,True,Increased
2014,3,18,32.0 B,Bezos,Jeff,Jeff Bezos,1964-01-12,50.0,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,CEO,True,Increased
2014,3,19,31.8 B,Brin,Sergey,Sergey Brin,1973-08-21,40.0,Male,United States,United States,Los Altos,Technology,['Technology'],Google,"Cofounder, Director Of Special Projects",True,Increased
2014,3,20,31.0 B,Li,Ka-shing,Li Ka-shing,1928-06-13,85.0,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],CK Hutchison Holdings,Chairman,True,Remained Even
