year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2007,3,1,56.0 B,Gates,William,Bill Gates,1955-10-28,51.0,Male,United States,United States,Medina,,['Technology'],,,False,Increased
2007,3,2,52.0 B,,,Warren Buffett,,76.0,,United States,United States,Omaha,,['Investments'],,,,
2007,3,3,49.0 B,,,Carlos Slim Helu & family,,67.0,,Mexico,Mexico,Mexico City,,,,,,
2007,3,4,33.0 B,,,Ingvar Kamprad & family,,80.0,,Sweden,Switzerland,Lausanne,,['Retail'],,,,
2007,3,5,32.0 B,,,Lakshmi Mittal,,56.0,,India,United Kingdom,London,,['Manufacturing'],,,,
2007,3,6,26.5 B,,,Sheldon Adelson,,73.0,,United States,United States,Las Vegas,,,,,,
2007,3,7,26.0 B,,,Bernard Arnault,,58.0,,France,France,Paris,,,,,,
2007,3,8,24.0 B,,,Amancio Ortega,,71.0,,Spain,Spain,La Coruna,,['Apparel'],,,,
2007,3,9,23.0 B,,,Ka-shing Li,,78.0,,Hong Kong,Hong Kong,Hong Kong,,,,,,
2007,3,10,22.0 B,,,David Thomson & family,,49.0,,Canada,Canada,Toronto,,['Media'],,,,
2007,3,11,21.5 B,,,Lawrence Ellison,,62.0,,United States,United States,Redwood City,,['Software'],,,,
2007,3,12,20.7 B,,,Liliane Bettencourt,,84.0,,France,France,Paris,,['Manufacturing'],,,,
2007,3,13,20.3 B,,,Prince Alwaleed Bin Talal Alsaud,,50.0,,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,,
2007,3,14,20.1 B,,,Mukesh Ambani,,49.0,,India,India,Mumbai,,['Manufacturing'],,,,
2007,3,15,20.0 B,,,Karl Albrecht,,87.0,,Germany,Germany,M?lheim an der Ruhr,,['Retail'],,,,
2007,3,16,18.7 B,,,Roman Abramovich,,40.0,,Russia,United Kingdom,London,,['Oil'],,,,
2007,3,17,18.4 B,,,Stefan Persson,,59.0,,Sweden,Sweden,Stockholm,,['Retail'],,,,
2007,3,18,18.2 B,,,Anil Ambani,,47.0,,India,India,Mumbai,,,,,,
2007,3,19,18.0 B,Allen,Paul,Paul Allen,1953-01-21,54.0,Male,United States,United States,Mercer Island,,['Technology'],,,False,Decreased
2007,3,21,17.1 B,,,Azim Premji,,61.0,,India,India,Bangalore,,,,,,
