year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2013,3,1,73.0 B,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,73.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],Am&#233;rica M&#243;vil,Honorary Chairman,True,Increased
2013,3,2,67.0 B,Gates,Bill,Bill Gates,1955-10-28,57.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Co-Chair,True,Increased
2013,3,3,57.0 B,Ortega,Amancio,Amancio Ortega,1936-03-28,76.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2013,3,4,53.5 B,Buffett,Warren,Warren Buffett,1930-08-30,82.0,Male,United States,United States,Omaha,Investments,['Investments'],Berkshire Hathaway,CEO,True,Increased
2013,3,5,43.0 B,Ellison,Larry,Larry Ellison,1944-08-17,68.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO,True,Increased
2013,3,6,34.0 B,Koch,Charles,Charles Koch,1935-11-01,77.0,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Increased
2013,3,6,34.0 B,Koch,David,David Koch,1940-05-03,72.0,Male,United States,United States,New York,Diversified,['Diversified'],Koch Industries,Executive Vice President,False,Increased
2013,3,8,31.0 B,Li,Ka-shing,Li Ka-shing,1928-06-13,84.0,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],Hutchison Whampoa,Chairman,True,Increased
2013,3,9,30.0 B,Bettencourt,Liliane,Liliane Bettencourt & family,1922-10-21,90.0,Female,France,France,Paris,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2013,3,10,29.0 B,Arnault,Bernard,Bernard Arnault & family,1949-03-05,64.0,Male,France,France,Paris,Fashion and Retail,['Fashion and Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Decreased
2013,3,11,28.2 B,Walton,Christy,Christy Walton & family,1955-01-01,58.0,Female,United States,United States,Jackson,Fashion and Retail,['Fashion and Retail'],Children's Scholarship Fund,Co-Chair,False,Increased
2013,3,12,28.0 B,Persson,Stefan,Stefan Persson,1947-10-04,65.0,Male,Sweden,Sweden,Stockholm,Fashion & Retail,['Fashion & Retail'],H&#38;M,Chairman,False,Increased
2013,3,13,27.0 B,Bloomberg,Michael,Michael Bloomberg,1942-02-14,71.0,Male,United States,United States,New York,Politics,['Politics'],United States,"Mayor, New York City",True,Increased
2013,3,14,26.7 B,Walton,Jim,Jim Walton,1948-01-01,65.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2013,3,15,26.5 B,Adelson,Sheldon,Sheldon Adelson,1933-08-04,79.0,Male,United States,United States,Las Vegas,Gaming,['Gaming'],Las Vegas Sands,Chairman and CEO,True,Increased
2013,3,16,26.3 B,Walton,Alice,Alice Walton,1949-10-07,63.0,Female,United States,United States,Fort Worth,Fashion and Retail,['Fashion and Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2013,3,17,26.1 B,Walton,S. Robson,S. Robson Walton,1944-01-01,69.0,Male,United States,United States,Bentonville,Fashion and Retail,['Fashion and Retail'],Wal-Mart Stores,Chairman,False,Increased
2013,3,18,26.0 B,Albrecht,Karl,Karl Albrecht,1920-02-20,93.0,Male,Germany,Germany,Mulheim an der Ruhr,Fashion and Retail,['Fashion and Retail'],,,True,Increased
2013,3,19,25.2 B,Bezos,Jeff,Jeff Bezos,1964-01-12,49.0,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,CEO,True,Increased
2013,3,20,23.0 B,Page,Larry,Larry Page,1973-03-26,40.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Google,Entrepreneur,True,Increased
