year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2004,3,1,46.6 B,Gates,William,Bill Gates,1955-10-28,48.0,Male,United States,United States,Medina,,['Technology'],,,False,Increased
2004,3,2,42.9 B,,,Warren Buffett,,73.0,,United States,United States,Omaha,,['Investments'],,,,
2004,3,3,23.0 B,,,Karl Albrecht,,84.0,,Germany,Germany,Donaueschingen,,['Retail'],,,,
2004,3,4,21.5 B,,,Prince Alwaleed Bin Talal Alsaud,,47.0,,Saudi Arabia,Saudi Arabia,Riyadh,,['Investments'],,,,
2004,3,5,21.0 B,Allen,Paul,Paul Allen,1953-01-21,51.0,Male,United States,United States,Mercer Island,,['Technology'],,,False,Increased
2004,3,6,20.0 B,,,Alice Walton,,55.0,,United States,United States,Fort Worth,,['Retail'],,,,
2004,3,6,20.0 B,,,Jim Walton,,56.0,,United States,United States,Bentonville,,['Retail'],,,,
2004,3,6,20.0 B,,,S. Robson Walton,,60.0,,United States,United States,Bentonville,,['Retail'],,,,
2004,3,11,18.8 B,,,Liliane Bettencourt,,81.0,,France,France,Paris,,['Manufacturing'],,,,
2004,3,12,18.7 B,,,Lawrence Ellison,,59.0,,United States,United States,Redwood Shores,,['Software'],,,,
2004,3,13,18.5 B,,,Ingvar Kamprad & family,,77.0,,Sweden,Switzerland,Lausanne,,['Retail'],,,,
2004,3,17,13.9 B,,,Carlos Slim Helu & family,,64.0,,Mexico,Mexico,Mexico City,,,,,,
2004,3,18,13.0 B,,,Michael Dell,,39.0,,United States,United States,Round Rock,,,,,,
2004,3,19,12.4 B,Ballmer,Steven,Steve Ballmer,1956-03-24,47.0,Male,United States,United States,Hunts Point,,['Technology'],,,False,Increased
2004,3,19,12.4 B,,,Ka-shing Li,,75.0,,Hong Kong,Hong Kong,Hong Kong,,,,,,
2004,3,21,12.2 B,,,Bernard Arnault,,55.0,,France,France,Paris,,,,,,
2004,3,22,11.4 B,,,Kwok family,,0.0,,Hong Kong,Hong Kong,Hong Kong,,['Real Estate'],,,,
2004,3,23,11.2 B,Chambers,Anne Cox,Anne Cox Chambers,1919-12-01,84.0,Female,United States,United States,Atlanta,,['Media'],,,False,Increased
2004,3,25,10.6 B,,,Roman Abramovich,,37.0,,Russia,Russia,Anadyr,,['Oil'],,,,
2004,3,27,10.4 B,,,Forrest Mars,,72.0,,United States,United States,McLean,,['Food'],,,,
