year,month,rank,net_worth,last_name,first_name,full_name,birth_date,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,business_industries,organization_name,position_in_organization,self_made,wealth_status
2017,3,1,86.0 B,Gates,Bill,Bill Gates,1955-10-28,61.0,Male,United States,United States,Medina,Technology,['Technology'],Bill & Melinda Gates Foundation,Cofounder,True,Increased
2017,3,2,75.6 B,Buffett,Warren,Warren Buffett,1930-08-30,86.0,Male,United States,United States,Omaha,Finance and Investments,['Finance and Investments'],Berkshire Hathaway,CEO,True,Increased
2017,3,3,72.8 B,Bezos,Jeff,Jeff Bezos,1964-01-12,53.0,Male,United States,United States,Seattle,Technology,['Technology'],Amazon.com,Entrepreneur,True,Increased
2017,3,4,71.3 B,Ortega,Amancio,Amancio Ortega,1936-03-28,80.0,Male,Spain,Spain,La Coruna,Fashion & Retail,['Fashion & Retail'],,,True,Increased
2017,3,5,56.0 B,Zuckerberg,Mark,Mark Zuckerberg,1984-05-14,32.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Facebook,Entrepreneur,True,Increased
2017,3,6,54.5 B,Slim Helu,Carlos,Carlos Slim Helu & family,1940-01-28,77.0,Male,Mexico,Mexico,Mexico City,Telecom,['Telecom'],América Móvil,Honorary Chairman,True,Increased
2017,3,7,52.2 B,Ellison,Larry,Larry Ellison,1944-08-17,72.0,Male,United States,United States,Woodside,Technology,['Technology'],Oracle,CEO and Founder,True,Increased
2017,3,8,48.3 B,Koch,Charles,Charles Koch,1935-11-01,81.0,Male,United States,United States,Wichita,Diversified,['Diversified'],Koch Industries,CEO,False,Increased
2017,3,8,48.3 B,Koch,David,David Koch,1940-05-03,76.0,Male,United States,United States,New York,Diversified,['Diversified'],Koch Industries,Executive Vice President,False,Increased
2017,3,10,47.5 B,Bloomberg,Michael,Michael Bloomberg,1942-02-14,75.0,Male,United States,United States,New York,Media & Entertainment,['Media & Entertainment'],Bloomberg,CEO,True,Increased
2017,3,11,41.5 B,Arnault,Bernard,Bernard Arnault & family,1949-03-05,68.0,Male,France,France,Paris,Fashion & Retail,['Fashion & Retail'],LVMH Moet Hennessy Louis Vuitton,Chairman and CEO,False,Increased
2017,3,12,40.7 B,Page,Larry,Larry Page,1973-03-26,43.0,Male,United States,United States,Palo Alto,Technology,['Technology'],Google,Entrepreneur,True,Increased
2017,3,13,39.8 B,Brin,Sergey,Sergey Brin,1973-08-21,43.0,Male,United States,United States,Los Altos,Technology,['Technology'],Google,President,True,Increased
2017,3,14,39.5 B,Bettencourt,Liliane,Liliane Bettencourt & family,1922-10-21,94.0,Female,France,,,Fashion & Retail,['Fashion & Retail'],,,False,Increased
2017,3,15,34.1 B,Walton,S. Robson,S. Robson Walton,1944-10-27,72.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],Wal-Mart Stores,Chairman,False,Increased
2017,3,16,34.0 B,Walton,Jim,Jim Walton,1948-06-07,68.0,Male,United States,United States,Bentonville,Fashion & Retail,['Fashion & Retail'],"Arvest Bank Group, Inc.",Chairman and CEO,False,Increased
2017,3,17,33.8 B,Walton,Alice,Alice Walton,1949-10-07,67.0,Female,United States,United States,Fort Worth,Fashion & Retail,['Fashion & Retail'],Crystal Bridges Museum of American Art,Philanthropist,False,Increased
2017,3,18,31.3 B,Wang,Jianlin,Wang Jianlin,1954-10-01,62.0,Male,China,China,Beijing,Real Estate,['Real Estate'],Dalian Wanda Group,Chairman,True,Increased
2017,3,19,31.2 B,Li,Ka-shing,Li Ka-shing,1928-06-13,88.0,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,['Diversified'],CK Hutchison Holdings,Chairman,True,Increased
2017,3,20,30.4 B,Adelson,Sheldon,Sheldon Adelson,1933-08-04,83.0,Male,United States,United States,Las Vegas,Gambling & Casinos,['Gambling & Casinos'],Las Vegas Sands,Chairman and CEO,True,Increased
